freq,unit,age,sex,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,NR,TOTAL,T,MK	1873109 	1890872 	1908941 	2061000 	1936741 	1957265 	1971687 	1991398 	2002340 	2012705 	2021578 	2031112 	2038651 	2023654 	2029892 	2035196 	2038514 	2041941 	2045177 	2048619 	2052722 	2057284 	2059794 	2062294 	2065769 	2069172 	2071278 	2073702 	2075301 	2077132 	2076255 	2068808 	1837114 b
A,NR,TOTAL,T,MT	352430 	361908 b	365781 	369455 	373161 	376433 	378404 	381405 	384176 	386397 	388759 	391415 	394641 	397296 	399867 	402668 	404999 	405616 	407832 	410926 	414027 	414989 	417546 	422509 	429424 	439691 	450415 	460297 	475701 	493559 	514564 	516100 	520971 p
A,NR,TOTAL,T,NL	14892574 	15010445 	15129150 	15239182 	15341553 	15424122 	15493889 	15567107 	15654192 	15760225 	15863950 	15987075 	16105285 	16192572 	16258032 	16305526 	16334210 	16357992 	16405399 	16485787 	16574989 	16655799 	16730348 	16779575 	16829289 	16900726 	16979120 	17081507 	17181084 	17282163 	17407585 	17475415 	17590672 
A,NR,TOTAL,T,NO	4233116 	4249830 	4273634 	4299167 	4324815 	4348410 	4369957 	4392714 	4417599 	4445329 	4478497 	4503436 	4524066 	4552252 	4577457 	4606363 	4640219 	4681134 	4737171 	4799252 	4858199 	4920305 	4985870 	5051275 	5107970 	5166493 	5210721 	5258317 	5295619 	5328212 	5367580 	5391369 	5425270 
A,NR,TOTAL,T,PL	38038403 	38183160 	38309226 	38418108 	38504707 	38580597 	38609399 	38639341 	38659979 	38666983 	38263303 b	38253955 	38242197 	38218531 	38190608 	38173835 	38157055 	38125479 	38115641 	38135876 	38022869 b	38062718 	38063792 	38062535 	38017856 	38005614 	37967209 	37972964 	37976687 	37972812 	37958138 	37840001 ep	37654247 ep
A,NR,TOTAL,T,PT	9995995 	9970441 	9950029 	9954958 	9974391 	10008659 	10043693 	10084196 	10133758 	10186634 	10249022 	10330774 	10394669 	10444592 	10473050 	10494672 	10511988 	10532588 	10553339 	10563014 	10573479 	10572721 	10542398 	10487289 	10427301 	10374822 	10341330 	10309573 	10291027 	10276617 	10295909 	10298252 	10352042 bp
A,NR,TOTAL,T,RO	23211395 	23192274 	22810035 	22778533 	22748027 	22712394 	22656145 	22581862 	22526093 	22488595 	22455485 	22430457 	21833483 	21627509 	21521142 	21382354 	21257016 	21130503 	20635460 	20440290 	20294683 	20199059 	20095996 	20020074 	19947311 	19870647 	19760585 	19643949 	19533481 	19414458 	19328838 e	19201662 	19042455 e
A,NR,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	7552850 	7527952 	7504739 	7502126 	7490918 	7470263 	7456050 	7425487 	7397651 	7365507 	7334937 	7306677 	7251549 b	7216649 	7181505 	7146759 	7114393 	7076372 	7040272 	7001444 	6963764 	6926705 	6871547 	6797105 
A,NR,TOTAL,T,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	146890128 	146303611 	145649334 	145166731 	144168205 	143474219 	142753551 	142220968 	142008838 	141903979 	141914509 	142856536 	143056383 	: 	143666931 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,T,SE	8527039 	8590630 	8644120 	8692013 	8745109 	8816381 	8837496 	8844499 	8847625 	8854322 	8861426 	8882792 	8909128 	8940788 	8975670 	9011392 	9047752 	9113257 	9182927 	9256347 	9340682 	9415570 	9482855 	9555893 	9644864 	9747355 	9851017 	9995153 	10120242 	10230185 	10327589 	10379295 	10452326 
A,NR,TOTAL,T,SI	1996377 	1999945 	1998912 	1994084 	1989408 	1989477 	1990266 	1986989 	1984923 	1978334 	1987755 	1990094 	1994026 	1995033 	1996433 	1997590 	2003358 	2010377 	2010269 b	2032362 	2046976 	2050189 	2055496 	2058821 	2061085 	2062874 	2064188 	2065895 	2066880 	2080908 	2095861 	2108977 	2107180 
A,NR,TOTAL,T,SK	5287663 	5310711 	5295877 	5314155 	5336455 	5356207 	5367790 	5378932 	5387650 	5393382 	5398657 	5378783 	5378951 	5374873 	5371875 	5372685 	5372928 	5373180 	5376064 	5382401 	5390410 	5392446 	5404322 	5410836 	5415949 	5421349 	5426252 	5435343 	5443120 	5450421 	5457873 	5459781 	5434712 
A,NR,TOTAL,T,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29241 	29673 	29999 	30368 	32054 	31269 	: 	31863 	33376 	33562 	: 	: 	: 	: 	34453 	: 	: 	: 	: 
A,NR,TOTAL,T,TR	55494711 	56714051 	57835076 	58958565 	60079060 	61203584 	62337617 	63484661 	64641675 	65786563 	66889425 	64729501 b	65603160 	66401851 	67187251 	68010221 	68860539 	69729967 	70586256 	71517100 	72561312 	73722988 	74724269 	75627384 	76667864 	77695904 	78741053 	79814871 	80810525 	82003882 	83154997 	83614362 	: 
A,NR,TOTAL,T,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49114950 	48663609 	48240902 	47823108 	47442079 	47100462 	46749170 	46465691 	46192309 	45963359 	45782592 	45598179 	45453282 	45372692 	45245894 	42759661 b	42590879 	42414905 	42216766 	41983564 	41732779 	41418717 	40997698 
A,NR,TOTAL,T,UK	57156972 	57338199 	57511594 	57649210 	57788017 	57943472 	58094587 	58239312 	58394596 	58579685 	58785246 	58999781 	59239564 	59501394 	59793759 	60182050 	60620361 	61073279 	61571647 	62042343 	62510197 	63022532 	63495088 	63905342 	64351203 	64853393 	65379044 	65844142 	66273576 	66647112 	67025542 p	: 	: 
A,NR,TOTAL,T,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1985000 	2016000 	2041000 	2100000 	2126708 	2153139 	2180686 	2208107 	1794180 b	: p	: 	: 	: 	1771604 p	1783531 	1798506 	1795666 	1782115 	: 	: 
