unit,airpol,src_nfr,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
T,NH3,NFR3_MNR,FR	526510 	548661 	561336 	566933 	570067 	571481 	567415 	559508 	564532 	567057 	572664 	572137 	580739 	576350 	569691 	576091 	579993 	587268 	597137 	610401 	615312 	605487 	605169 	604072 	606714 	604663 	600953 	604617 	608436 	619818 	623974 
T,NH3,NFR3_MNR,HR	26069 	25858 	26556 	26129 	23223 	24701 	22855 	23542 	29083 	30633 	29094 	27647 	35939 	32841 	32756 	31899 	33549 	32462 	33053 	34600 	31343 	30860 	27799 	32320 	29992 	30099 	32245 	33300 	36272 	41579 	41628 
T,NH3,NFR3_MNR,HU	68332 	67621 	67043 	67318 	66676 	66157 	62759 	61410 	60102 	61307 	61559 	61493 	65326 	71586 	72193 	72856 	77604 	79908 	79797 	78039 	79128 	77130 	75293 	72530 	73681 	74496 	72986 	77799 	88426 	104333 	125488 
T,NH3,NFR3_MNR,IE	122433 	124212 	134081 	127361 	123436 	118057 	112692 	116202 	115158 	108407 	112468 	114230 	113817 	111745 	118334 	116506 	115437 	118209 	118066 	117683 	117769 	123636 	126124 	121864 	118952 	114858 	114226 	113267 	113957 	111221 	109226 
T,NH3,NFR3_MNR,IS	4328 	4396 	4470 	4633 	4682 	4631 	4608 	4279 	4393 	4495 	4432 	4558 	4545 	4549 	4418 	4288 	4224 	4275 	4320 	4425 	4457 	4570 	4556 	4454 	4501 	4427 	4543 	4556 	4544 	4754 	4878 
T,NH3,NFR3_MNR,IT	332264 	320573 	321720 	329853 	339044 	326800 	325076 	337536 	356397 	341393 	344983 	356155 	369667 	378792 	370552 	373225 	386608 	394069 	396486 	406639 	408681 	426300 	422304 	425270 	417634 	426064 	432580 	443950 	440052 	452684 	446897 
T,NH3,NFR3_MNR,LI	93 	93 	90 	89 	91 	92 	93 	92 	95 	94 	91 	93 	92 	89 	87 	82 	77 	78 	77 	70 	69 	68 	69 	70 	70 	70 	70 	68 	71 	73 	72 
T,NH3,NFR3_MNR,LT	36562 	33853 	34735 	35188 	35217 	36060 	35794 	33159 	33483 	33716 	34322 	34954 	33590 	35743 	34587 	35413 	33586 	32947 	31899 	29962 	30110 	31623 	34249 	35058 	34823 	33390 	35640 	40906 	53368 	74666 	76680 
T,NH3,NFR3_MNR,LU	5449 	5451 	5498 	5513 	5360 	5304 	5244 	5130 	5091 	5236 	5339 	5214 	5277 	5186 	5034 	5093 	5111 	5011 	5153 	5313 	5401 	5489 	5403 	5436 	5520 	5455 	5298 	5356 	5347 	5522 	5402 
T,NH3,NFR3_MNR,LV	13667 	13752 	13590 	14029 	13789 	13684 	13686 	13409 	12971 	12370 	12410 	12221 	11995 	12356 	11956 	11842 	11772 	12231 	12170 	12115 	10978 	10724 	11842 	12602 	12773 	13149 	13565 	15321 	22755 	29489 	31401 
