freq,unit,na_item,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CLV10_MEUR,B1GQ,SK	: 	: 	: 	: 	: 	35367.0 	37708.3 	39942.8 	41570.9 	41526.9 	42011.3 	43378.3 	45334.4 	47827.4 	50352.1 	53687.2 	58246.9 	64556.2 	68155.2 	64437.0 	68764.9 	70602.0 	71533.1 	71985.7 	73927.3 	77747.2 	79258.6 	81587.3 	84875.6 	87005.7 	84103.0 	88193.1 	89664.8 
A,CLV10_MEUR,B1GQ,TR	: 	: 	: 	: 	: 	: 	: 	: 	380954.8 	368523.6 	394074.3 	371415.0 	395362.8 	418148.3 	459109.9 	500394.5 	535161.8 	562152.7 	566734.4 	539399.9 	584855.7 	650360.2 	681502.7 	739333.7 	775854.7 	823061.5 	850412.5 	914210.5 	941452.9 	948830.2 	967237.8 	1077053.1 	1137000.4 p
A,CLV10_MEUR,B1GQ,UK	1239333.0 	1225661.7 	1230577.6 	1261216.9 	1309723.4 	1339240.6 	1372609.3 	1440900.7 	1494326.0 	1543567.0 	1597687.8 	1641310.1 	1677070.0 	1732780.3 	1772396.5 	1824783.1 	1873939.1 	1918174.8 	1912827.3 	1834134.6 	1872175.5 	1896059.0 	1923180.1 	1965223.0 	2021482.0 	2069251.0 	2104891.5 	2141523.2 	2168347.7 	2198071.7 	: 	: 	: 
A,CLV10_MEUR,B1GQ,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3657.1 	3841.2 	4031.0 	4285.7 	4359.1 	4591.9 	4745.7 	5026.5 	5306.5 	5562.6 	5752.1 	6025.7 	5703.9 	6316.9 	6538.8 p
A,CLV_I10,B1GQ,AL	: 	: 	: 	: 	: 	46.358 	49.667 	44.241 	48.147 	54.354 	58.129 	62.950 	65.806 	69.444 	73.274 	77.323 	81.888 	86.787 	93.296 d	96.426 	100.000 	102.545 	103.999 	105.041 d	106.905 	109.277 	112.899 	117.192 	121.902 	124.447 	120.114 p	: 	: 
A,CLV_I10,B1GQ,AT	: 	: 	: 	: 	: 	74.106 	75.847 	77.435 	80.208 	83.060 	85.864 	86.952 	88.388 	89.220 	91.661 	93.718 	96.955 	100.569 	102.037 	98.196 	100.000 	102.923 	103.623 	103.650 	104.335 	105.393 	107.490 	109.918 	112.584 	114.292 	106.916 	111.788 	117.297 
A,CLV_I10,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70.379 	72.085 	75.709 	78.637 	83.611 	86.869 	91.572 	96.938 	102.213 	99.142 	100.000 	100.960 	100.130 	102.483 	103.665 	108.138 	111.644 	115.266 	119.680 	123.133 	119.421 	128.248 	133.246 
A,CLV_I10,B1GQ,BE	: 	: 	: 	: 	: 	73.277 	74.245 	77.062 	78.574 	81.357 	84.381 	85.309 	86.765 	87.666 	90.796 	92.905 	95.276 	98.779 	99.220 	97.215 	100.000 	101.695 	102.446 	102.917 	104.541 	106.675 	108.027 	109.776 	111.745 	114.272 	108.144 p	114.942 p	118.675 p
A,CLV_I10,B1GQ,BG	: 	: 	: 	: 	: 	71.120 	74.823 	64.261 	66.696 	61.096 	63.899 	66.342 	70.238 	73.916 	78.728 	84.284 	90.017 	96.007 	101.892 	98.482 	100.000 	102.101 	102.872 	102.295 	103.284 	106.825 	110.072 	113.113 	116.150 	120.840 	116.056 	124.917 	129.116 p
A,CLV_I10,B1GQ,CH	73.947 	73.270 	73.238 	73.146 	74.074 	74.431 	74.781 	76.472 	78.789 	80.100 	83.270 	84.583 	84.521 	84.493 	86.776 	89.162 	92.794 	96.428 	99.136 	96.858 	100.000 	101.813 	103.014 	104.860 	107.324 	109.089 	111.346 	112.863 	116.092 	117.417 	114.628 	119.467 	121.927 
A,CLV_I10,B1GQ,CY	: 	: 	: 	: 	: 	58.510 	59.241 	60.805 	64.521 	67.746 	71.787 	74.624 	77.403 	79.433 	83.426 	87.474 	91.598 	96.268 	99.778 	97.767 	100.000 	100.417 	96.955 	90.568 	88.960 	92.001 	98.049 	103.670 	109.520 	115.583 	110.536 	117.865 	124.504 p
A,CLV_I10,B1GQ,CZ	: 	: 	: 	: 	: 	67.015 	69.874 	69.512 	69.264 	70.223 	73.032 	75.255 	76.436 	79.175 	82.987 	88.465 	94.452 	99.713 	102.392 	97.623 	100.000 	101.760 	100.962 	100.915 	103.198 	108.759 	111.518 	117.282 	121.059 	124.727 	117.863 	122.050 	125.054 
A,CLV_I10,B1GQ,DE	: 	79.722 	81.255 	80.461 	82.386 	83.658 	84.332 	85.843 	87.572 	89.225 	91.823 	93.367 	93.183 	92.530 	93.617 	94.302 	97.901 	100.815 	101.783 	95.988 	100.000 	103.925 	104.360 	104.817 	107.133 	108.731 	111.156 	114.135 	115.255 	116.473 p	112.167 p	115.114 p	117.201 p
A,CLV_I10,B1GQ,DK	71.158 	72.150 	73.562 	73.570 	77.493 	79.839 	82.155 	84.834 	86.715 	89.272 	92.617 	93.379 	93.814 	94.180 	96.693 	98.953 	102.825 	103.760 	103.228 	98.163 	100.000 	101.337 	101.566 	102.514 	104.174 	106.615 	110.075 	113.181 	115.433 	117.157 	114.820 	120.396 	124.994 
A,CLV_I10,B1GQ,EA	: 	: 	: 	: 	: 	78.072 	79.296 	81.322 	83.719 	86.176 	89.462 	91.277 	92.059 	92.591 	94.659 	96.164 	99.193 	102.057 	102.441 	97.893 	100.000 	101.670 	100.750 	100.497 	101.910 	104.020 	105.959 	108.732 	110.670 	112.421 	105.629 	111.207 	115.033 
A,CLV_I10,B1GQ,EA12	: 	: 	: 	: 	: 	77.918 	79.158 	81.209 	83.618 	86.075 	89.359 	91.277 	92.059 	92.591 	94.659 	96.164 	99.193 	102.053 	102.434 	97.923 	100.000 	101.660 	100.725 	100.474 	101.844 	103.863 	105.777 	108.504 	110.374 	112.068 	105.210 	110.739 	114.569 
A,CLV_I10,B1GQ,EA19	: 	: 	: 	: 	: 	77.562 	78.815 	80.885 	83.300 	85.741 	89.016 	90.948 	91.772 	92.365 	94.469 	96.039 	99.132 	102.093 	102.515 	97.907 	100.000 	101.684 	100.796 	100.562 	101.959 	104.020 	105.959 	108.732 	110.670 	112.421 	105.629 	111.207 	115.033 
A,CLV_I10,B1GQ,EA20	: 	: 	: 	: 	: 	77.518 	78.781 	80.859 	83.272 	85.701 	88.971 	90.905 	91.745 	92.355 	94.465 	96.046 	99.146 	102.116 	102.546 	97.923 	100.000 	101.676 	100.781 	100.546 	101.935 	103.997 	105.943 	108.720 	110.662 	112.423 	105.617 	111.231 	115.072 
A,CLV_I10,B1GQ,EE	: 	: 	: 	: 	: 	52.799 	55.409 	62.640 	65.359 	65.081 	71.646 	75.948 	81.090 	87.253 	93.190 	102.068 	112.035 	120.526 	114.341 	97.614 	100.000 	107.263 	110.726 	112.341 	115.724 	117.868 	121.587 	128.630 	133.497 	138.490 	137.727 	148.763 	146.848 
A,CLV_I10,B1GQ,EL	: 	: 	: 	: 	: 	70.245 	72.255 	75.495 	78.436 	80.846 	84.015 	87.486 	90.918 	96.186 	101.054 	101.660 	107.406 	110.922 	110.550 	105.796 	100.000 b	89.851 	83.483 	81.383 	81.770 	81.610 	81.212 	82.099 	83.469 	85.042 	77.384 p	83.911 p	88.874 p
A,CLV_I10,B1GQ,ES	: 	: 	: 	: 	: 	66.371 	68.137 	70.660 	73.764 	77.076 	81.120 	84.310 	86.613 	89.195 	91.981 	95.340 	99.251 	102.829 	103.741 	99.837 	100.000 	99.186 	96.251 	94.900 	96.225 	99.918 	102.954 	106.017 	108.439 	110.591 	98.066 p	103.478 p	109.120 p
A,CLV_I10,B1GQ,EU15	: 	: 	: 	: 	: 	76.473 	77.810 	80.126 	82.629 	85.142 	88.365 	90.321 	91.351 	92.402 	94.539 	96.331 	99.339 	102.083 	102.297 	97.833 	100.000 	101.641 	101.117 	101.358 	103.046 	105.254 	107.207 	109.817 	111.638 	113.336 	: 	: 	: 
A,CLV_I10,B1GQ,EU27_2020	: 	: 	: 	: 	: 	76.123 	77.464 	79.524 	81.913 	84.329 	87.588 	89.457 	90.399 	91.177 	93.482 	95.237 	98.533 	101.619 	102.269 	97.870 	100.000 	101.868 	101.128 	101.036 	102.641 	104.985 	107.060 	110.095 	112.369 	114.401 	107.987 	113.826 	117.835 
A,CLV_I10,B1GQ,EU28	: 	: 	: 	: 	: 	75.345 	76.749 	79.046 	81.514 	83.967 	87.159 	89.115 	90.236 	91.415 	93.688 	95.623 	98.804 	101.765 	102.253 	97.884 	100.000 	101.782 	101.359 	101.628 	103.442 	105.817 	107.861 	110.727 	112.877 	114.843 	: 	: 	: 
A,CLV_I10,B1GQ,FI	66.757 	62.827 	60.757 	60.355 	62.747 	65.393 	67.791 	72.085 	76.019 	79.348 	83.929 	86.120 	87.590 	89.345 	92.912 	95.494 	99.340 	104.605 	105.425 	96.912 	100.000 	102.548 	101.115 	100.203 	99.837 	100.380 	103.202 	106.497 	107.710 	109.030 	106.462 	109.705 	111.991 
A,CLV_I10,B1GQ,FR	71.674 	72.425 	73.583 	73.121 	74.845 	76.422 	77.502 	79.313 	82.159 	84.970 	88.304 	90.055 	91.078 	91.828 	94.426 	95.997 	98.348 	100.733 	100.990 	98.088 	100.000 	102.193 	102.513 	103.104 	104.089 	105.248 	106.401 	108.839 	110.869 	112.912 	104.398 	111.116 p	113.844 p
