Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GUT003__Befoerderte_Gueter__t;GUT004__Befoerderungsleistung__tkm
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;55087932;23860158338
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;14534542;9271594527
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;340557879;113114188836
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;208306460;54826968939
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;42836805;20426413362
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;50877682;21731962008
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;18122039;11420401929
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;320142986;108405746238
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;232004996;61386481424
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;48906545;24301254120
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;57461971;25130906164
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;19190551;12248261248
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;357564063;123066902956
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;231889933;61075012695
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;48119435;23970637141
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;56756441;25251141988
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;22092482;14255778396
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;358858291;124552570220
