Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GUT005__Befoerderte_Guetermenge__1000_t;GUT004__Befoerderungsleistung__Mill._Tkm
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;76177;36799
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;60061;30872
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;14812;2273
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;3027941;343438
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2847276;261432
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;158763;79460
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;84028;38817
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;64290;31900
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;21902;2546
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;3077845;341551
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2895469;264538
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;157399;74232
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;84233;36089
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;62599;29525
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;24977;2781
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2768694;307575
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2625026;245597
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;130496;60194
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;70444;30261
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;51913;23539
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;13172;1785
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2734098;313097
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2594703;252455
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;127369;58667
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;67902;29387
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;52182;23460
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;12027;1975
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2986182;323848
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2844037;265018
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;128517;56803
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;70305;29009
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;51018;22475
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;13628;2028
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2891308;307106
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2760640;254491
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;119546;50851
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;65595;26406
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;47797;20030
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;11122;1764
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;2938189;305781
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2809265;256715
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;117039;47277
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;63608;24443
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;47564;18868
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;11883;1786
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;3052072;310142
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2924158;263024
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;115870;45348
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;64358;23326
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;45556;18204
